Date	Time	windspeed(m/s)	windAngle(deg)	PV_power(W)	PV_voltage(V)	
1/1/0	3:52:47	0.00	270.00	0.00000	0.00645	
1/1/0	3:53:47	0.00	315.00	0.00000	0.00000	
1/1/0	3:54:47	0.00	315.00	0.00000	0.01290	
1/1/0	3:55:47	0.00	292.50	0.00000	0.00645	
1/1/0	3:56:47	0.00	270.00	0.00000	0.01290	
1/1/0	3:57:48	0.00	315.00	0.00000	0.00645	
1/1/0	3:58:48	0.00	270.00	0.00000	0.01290	
1/1/0	3:59:48	0.00	270.00	0.00000	0.00645	
1/1/0	4:0:48	0.00	315.00	0.00000	0.00645	
1/1/0	4:1:48	0.00	270.00	0.00000	0.00645	
1/1/0	4:2:48	0.00	315.00	0.00000	0.00645	
1/1/0	4:3:48	0.00	315.00	0.00000	0.00645	
1/1/0	4:4:49	0.00	315.00	0.00000	0.00645	
1/1/0	4:5:49	0.00	315.00	0.00000	0.00645	
1/1/0	4:6:49	0.00	270.00	0.00000	0.00645	
1/1/0	4:7:49	0.00	270.00	0.00000	0.00645	
1/1/0	4:8:49	0.00	315.00	0.00000	0.00645	
1/1/0	4:9:49	0.00	315.00	0.00000	0.00645	
1/1/0	4:10:49	0.00	292.50	0.00000	0.01290	
1/1/0	4:11:50	0.00	270.00	0.00000	0.00645	
1/1/0	4:12:50	0.00	315.00	0.00000	0.00645	
1/1/0	4:13:50	0.00	270.00	0.00000	0.01290	
1/1/0	4:14:50	0.00	292.50	0.00000	0.00645	
1/1/0	4:15:50	0.00	315.00	0.00000	0.00645	
1/1/0	4:16:50	0.00	270.00	0.00000	0.00645	
1/1/0	4:17:50	0.00	315.00	0.00000	0.00000	
1/1/0	4:18:50	0.00	315.00	0.00000	0.00645	
1/1/0	4:19:51	0.00	315.00	0.00000	0.00645	
1/1/0	4:20:51	0.00	292.50	0.00000	0.00000	
1/1/0	4:21:51	0.00	270.00	0.00000	0.01290	
1/1/0	4:22:51	0.00	315.00	0.00000	0.00645	
1/1/0	4:23:51	0.00	315.00	0.00000	0.01290	
1/1/0	4:24:51	0.00	315.00	0.00000	0.00645	
1/1/0	4:25:51	0.00	270.00	0.00000	0.01290	
1/1/0	4:26:52	0.00	270.00	0.00000	0.00645	
1/1/0	4:27:52	0.00	292.50	0.00000	0.00645	
1/1/0	4:28:52	0.00	315.00	0.00000	0.00645	
1/1/0	4:29:52	0.00	270.00	0.00000	0.00645	
1/1/0	4:30:52	0.00	270.00	0.00000	0.01290	
1/1/0	4:31:52	0.00	270.00	0.00000	0.00645	
1/1/0	4:32:52	0.00	270.00	0.00000	0.00645	
1/1/0	4:33:52	0.00	315.00	0.00000	0.01290	
1/1/0	4:34:53	0.00	270.00	0.00000	0.00645	
1/1/0	4:35:53	0.00	315.00	0.00000	0.00645	
1/1/0	4:36:53	0.00	292.50	0.00000	0.00645	
1/1/0	4:37:53	0.00	315.00	0.00000	0.00645	
1/1/0	4:38:53	0.00	315.00	0.00000	0.01290	
1/1/0	4:39:53	0.00	315.00	0.00000	0.00645	
1/1/0	4:40:53	0.00	315.00	0.00000	0.00645	
1/1/0	4:41:54	0.00	315.00	0.00000	0.00645	
1/1/0	4:42:54	0.00	270.00	0.00000	0.00645	
1/1/0	4:43:54	0.00	315.00	0.00000	0.00645	
1/1/0	4:44:54	0.00	315.00	0.00000	0.01290	
1/1/0	4:45:54	0.00	270.00	0.00000	0.00645	
1/1/0	4:46:54	0.00	270.00	0.00000	0.00645	
1/1/0	4:47:54	0.00	315.00	0.00000	0.00645	
1/1/0	4:48:55	0.00	270.00	0.00000	0.00645	
1/1/0	4:49:55	0.00	270.00	0.00000	0.00645	
1/1/0	4:50:55	0.00	292.50	0.00000	0.00645	
1/1/0	4:51:55	0.00	315.00	0.00000	0.00645	
1/1/0	4:52:55	0.00	270.00	0.00000	0.01290	
1/1/0	4:53:55	0.00	270.00	0.00000	0.00645	
1/1/0	4:54:55	0.00	270.00	0.00000	0.00645	
1/1/0	4:55:55	0.00	315.00	0.00000	0.00000	
1/1/0	4:56:56	0.00	315.00	0.00000	0.00645	
1/1/0	4:57:56	0.00	315.00	0.00000	0.01290	
1/1/0	4:58:56	0.00	270.00	0.00000	0.00645	
1/1/0	4:59:56	0.00	315.00	0.00000	0.00645	
1/1/0	5:0:56	0.00	315.00	0.00000	0.00645	
1/1/0	5:1:56	0.00	270.00	0.00000	0.00645	
1/1/0	5:2:56	0.00	315.00	0.00000	0.00645	
1/1/0	5:3:57	0.00	315.00	0.00000	0.00645	
1/1/0	5:4:57	0.00	315.00	0.00000	0.00645	
1/1/0	5:5:57	0.00	270.00	0.00000	0.01290	
1/1/0	5:6:57	0.00	270.00	0.00000	0.00645	
1/1/0	5:7:57	0.00	315.00	0.00000	0.00645	
1/1/0	5:8:57	0.00	270.00	0.00000	0.00645	
1/1/0	5:9:57	0.00	270.00	0.00000	0.00645	
1/1/0	5:10:57	0.00	270.00	0.00000	0.01290	
1/1/0	5:11:58	0.00	270.00	0.00000	0.01290	
